23/04/2013 15:34:22 - New match 11348965 has started
23/04/2013 15:36:04 - Roman killed Nick using M16
23/04/2013 15:36:04 - Roman killed Nick using M55
23/04/2013 15:36:14 - Roman killed Nick using M20
23/04/2013 15:36:14 - Julian killed Raman using 765
23/04/2013 15:36:14 - Marlon killed Josh using 42
23/04/2013 15:36:15 - Nick killed Roman using AR15
23/04/2013 15:36:16 - <WORLD> killed Roman by DROWN
23/04/2013 15:36:17 - Nick killed Roman using AR15
23/04/2013 15:36:33 - <WORLD> killed Nick by DROWN
23/04/2013 15:39:22 - Match 11348965 has ended
